2019-12-21 14:59:25 ===> -------------------------------------------This is all configurations-----------------------------------------
2019-12-21 14:59:25 ===> opts:
user=zjf,
experiment=DMFNet16x_rotate_,
data=2019-12-21,
warm=30,
root=/data1/zjf,
train_dir=MICCAI_BraTS_2019_Data_Training,
valid_dir=MICCAI_BraTS_2019_Data_Validation,
mode=train_all,
train_file=all.txt,
valid_file=valid.txt,
dataset=brats,
model=resnet,
model_name=DilatedMFNet,
model_depth=34,
input_C=4,
input_H=240,
input_W=240,
input_D=160,
output_D=155,
resnet_shortcut=A,
lr=0.001,
weight_decay=1e-05,
amsgrad=True,
criterion=Generalized_dice,
num_class=4,
description=DMFNet16x training on the whole dataset with 128!,
seed=1,
no_cuda=False,
resume=checkpoint/DMFNet_T128_xavier_2019-11-19/model_epoch_139.pth,
load=False,
valid_transform=Compose([Pad((0, 0, 0, 5, 0)),NumpyType((np.float32, np.int64))]),
GPU=4, 5, 6, 7,
num_workers=8,
batch_size=4,
start_epoch=0,
end_epoch=500,
save_freq=50,
output_dir=output,
submission=submission,
visual=visualization,
test_date=2019-12-20,
test_file=model_epoch_last.pth,
snapshot=True,
use_TTA=False,
post_process=True,
save_format=nii,
crop_H=128,
crop_W=128,
crop_D=128
2019-12-21 14:59:25 ===> ---------------------------------------------This is a halving line-------------------------------------------
2019-12-21 14:59:25 ===> DMFNet16x training on the whole dataset with 128!
2019-12-21 14:59:32 ===> re-training!!!
2019-12-21 14:59:32 ===> Samples for train = 335
2019-12-21 15:03:59 ===> Epoch: 0_Iter:35  loss: 0.99421 || 1:0.0015 | 2:0.0126 | 4:0.0198 ||
2019-12-21 15:03:59 ===> Epoch: 0_Iter:36  loss: 0.99334 || 1:0.0016 | 2:0.0187 | 4:0.0191 ||
2019-12-21 15:04:00 ===> Epoch: 0_Iter:37  loss: 0.98587 || 1:0.0026 | 2:0.0298 | 4:0.0208 ||
2019-12-21 15:04:01 ===> Epoch: 0_Iter:38  loss: 0.98501 || 1:0.0030 | 2:0.0222 | 4:0.0210 ||
2019-12-21 15:04:02 ===> Epoch: 0_Iter:39  loss: 0.98201 || 1:0.0055 | 2:0.0207 | 4:0.0201 ||
2019-12-21 15:04:47 ===> Epoch: 0_Iter:40  loss: 0.97835 || 1:0.0042 | 2:0.0234 | 4:0.0255 ||
2019-12-21 15:04:48 ===> Epoch: 0_Iter:41  loss: 0.98595 || 1:0.0095 | 2:0.0289 | 4:0.0140 ||
2019-12-21 15:04:49 ===> Epoch: 0_Iter:42  loss: 0.99851 || 1:0.0044 | 2:0.0194 | 4:0.0015 ||
2019-12-21 15:04:50 ===> Epoch: 0_Iter:43  loss: 0.98965 || 1:0.0011 | 2:0.0075 | 4:0.0155 ||
2019-12-21 15:04:51 ===> Epoch: 0_Iter:44  loss: 0.98769 || 1:0.0065 | 2:0.0165 | 4:0.0124 ||
2019-12-21 15:04:51 ===> Epoch: 0_Iter:45  loss: 0.98660 || 1:0.0036 | 2:0.0351 | 4:0.0160 ||
2019-12-21 15:04:52 ===> Epoch: 0_Iter:46  loss: 0.98746 || 1:0.0024 | 2:0.0116 | 4:0.0131 ||
2019-12-21 15:04:53 ===> Epoch: 0_Iter:47  loss: 0.98376 || 1:0.0025 | 2:0.0207 | 4:0.0376 ||
2019-12-21 15:05:39 ===> Epoch: 0_Iter:48  loss: 0.99323 || 1:0.0046 | 2:0.0232 | 4:0.0068 ||
